image_id,full_image_path,question,answer
711GMf9ohUL,abo-images-small/images/small\31/31c74045.jpg,What is the shape behind the person?,Circle
711GMf9ohUL,abo-images-small/images/small\31/31c74045.jpg,Is there a person depicted?,Yes
711GMf9ohUL,abo-images-small/images/small\31/31c74045.jpg,How many lenses does the camera have?,Two
711GMf9ohUL,abo-images-small/images/small\31/31c74045.jpg,What is the person holding?,Needle
711GMf9ohUL,abo-images-small/images/small\31/31c74045.jpg,What color are the stripes?,Red
71IIEpO6h2L,abo-images-small/images/small\03/0380269a.jpg,What number is located at the top?,Twelve
71IIEpO6h2L,abo-images-small/images/small\03/0380269a.jpg,Is there a second hand?,No
71IIEpO6h2L,abo-images-small/images/small\03/0380269a.jpg,How many hands are visible?,Three
71IIEpO6h2L,abo-images-small/images/small\03/0380269a.jpg,What time is shown?,Ten
71IIEpO6h2L,abo-images-small/images/small\03/0380269a.jpg,What color is the frame?,Black
71BQcSN1nqL,abo-images-small/images/small\52/524186cb.jpg,"What word is underneath ""Girl""?",Boss
71BQcSN1nqL,abo-images-small/images/small\52/524186cb.jpg,Is there a camera hole?,Yes
71BQcSN1nqL,abo-images-small/images/small\52/524186cb.jpg,What colour is the case?,Brown
71BQcSN1nqL,abo-images-small/images/small\52/524186cb.jpg,Are there buttons?,No
71BQcSN1nqL,abo-images-small/images/small\52/524186cb.jpg,Is the text uppercase?,No
61B+eJQyzML,abo-images-small/images/small\a6/a67299f1.jpg,What is the text's color?,Red
61B+eJQyzML,abo-images-small/images/small\a6/a67299f1.jpg,How many hands are visible?,Two
61B+eJQyzML,abo-images-small/images/small\a6/a67299f1.jpg,Is there a camera?,Yes
61B+eJQyzML,abo-images-small/images/small\a6/a67299f1.jpg,Is the hand large?,Yes
61B+eJQyzML,abo-images-small/images/small\a6/a67299f1.jpg,Is the image black?,Monochrome
71TMSboQ+JL,abo-images-small/images/small\9f/9ff5e20a.jpg,Are there flowers?,Yes
71TMSboQ+JL,abo-images-small/images/small\9f/9ff5e20a.jpg,What is the flower color?,Yellow
71TMSboQ+JL,abo-images-small/images/small\9f/9ff5e20a.jpg,Are there water droplets?,Yes
71TMSboQ+JL,abo-images-small/images/small\9f/9ff5e20a.jpg,Is the background blue?,Yes
71TMSboQ+JL,abo-images-small/images/small\9f/9ff5e20a.jpg,Is the vase clear?,Yes
61qbRK6csZL,abo-images-small/images/small\b5/b5d6c492.jpg,What shape are the eyes?,Round
61qbRK6csZL,abo-images-small/images/small\b5/b5d6c492.jpg,How many paws are visible?,Two
61qbRK6csZL,abo-images-small/images/small\b5/b5d6c492.jpg,What color is the bow?,Pink
61qbRK6csZL,abo-images-small/images/small\b5/b5d6c492.jpg,What animal is pictured?,Cat
61qbRK6csZL,abo-images-small/images/small\b5/b5d6c492.jpg,Is the background pink?,Yes
81DpSGmib1L,abo-images-small/images/small\3a/3a56f60f.jpg,What is the primary color?,Blue
81DpSGmib1L,abo-images-small/images/small\3a/3a56f60f.jpg,Are there water droplets?,Yes
81DpSGmib1L,abo-images-small/images/small\3a/3a56f60f.jpg,Is there a camera?,Yes
81DpSGmib1L,abo-images-small/images/small\3a/3a56f60f.jpg,What shape is it?,Rectangle
81DpSGmib1L,abo-images-small/images/small\3a/3a56f60f.jpg,Are there visible buttons?,No
81ivpZqwpAL,abo-images-small/images/small\96/969df686.jpg,What is the case's predominant color?,Red
81ivpZqwpAL,abo-images-small/images/small\96/969df686.jpg,Does the case have a crown?,Yes
81ivpZqwpAL,abo-images-small/images/small\96/969df686.jpg,What shape is the camera lens area?,Circle
81ivpZqwpAL,abo-images-small/images/small\96/969df686.jpg,Is the glitter background uniform?,No
81ivpZqwpAL,abo-images-small/images/small\96/969df686.jpg,Is text visible?,Yes
71+b2En0UNL,abo-images-small/images/small\97/97286092.jpg,Is there a camera?,Yes
71+b2En0UNL,abo-images-small/images/small\97/97286092.jpg,What shape are the dots?,Circle
71+b2En0UNL,abo-images-small/images/small\97/97286092.jpg,Are the circles solid?,Solid
71+b2En0UNL,abo-images-small/images/small\97/97286092.jpg,Are there cutouts?,Yes
71+b2En0UNL,abo-images-small/images/small\97/97286092.jpg,What is the background color?,Black
71rijpFaNTL,abo-images-small/images/small\4f/4f0abf1a.jpg,What shape is the object?,Rectangular
71rijpFaNTL,abo-images-small/images/small\4f/4f0abf1a.jpg,What color is dominant?,White
71rijpFaNTL,abo-images-small/images/small\4f/4f0abf1a.jpg,Is there a camera hole?,Yes
71rijpFaNTL,abo-images-small/images/small\4f/4f0abf1a.jpg,Are there curves visible?,Yes
71rijpFaNTL,abo-images-small/images/small\4f/4f0abf1a.jpg,What pattern is shown?,Marbled
71TOBEt2DLL,abo-images-small/images/small\c5/c5d6d320.jpg,Is the image on the cover red?,Yes
71TOBEt2DLL,abo-images-small/images/small\c5/c5d6d320.jpg,Are there droplets visible?,Yes
71TOBEt2DLL,abo-images-small/images/small\c5/c5d6d320.jpg,Is there a camera cutout?,Yes
71TOBEt2DLL,abo-images-small/images/small\c5/c5d6d320.jpg,Is the color uniform?,No
71TOBEt2DLL,abo-images-small/images/small\c5/c5d6d320.jpg,Is the cover transparent?,No
71a+VG0zGeL,abo-images-small/images/small\ea/eada14eb.jpg,Is there orange?,Yes
71a+VG0zGeL,abo-images-small/images/small\ea/eada14eb.jpg,What shape is prominent?,Square
71a+VG0zGeL,abo-images-small/images/small\ea/eada14eb.jpg,Is the case rectangular?,Yes
71a+VG0zGeL,abo-images-small/images/small\ea/eada14eb.jpg,Are there buttons?,Yes
71a+VG0zGeL,abo-images-small/images/small\ea/eada14eb.jpg,Is white present?,Yes
71jymEElbRL,abo-images-small/images/small\e5/e509dc70.jpg,Is there a camera?,Yes
71jymEElbRL,abo-images-small/images/small\e5/e509dc70.jpg,What is the background color?,White
71jymEElbRL,abo-images-small/images/small\e5/e509dc70.jpg,Is the design colorful?,Yes
71jymEElbRL,abo-images-small/images/small\e5/e509dc70.jpg,Is there a button?,Yes
71jymEElbRL,abo-images-small/images/small\e5/e509dc70.jpg,Is the phone rectangular?,Mostly
81-9EAt1djL,abo-images-small/images/small\9a/9a7a2331.jpg,What is the phone cover's color?,Multicolored
81-9EAt1djL,abo-images-small/images/small\9a/9a7a2331.jpg,Is the camera lens visible?,Yes
81-9EAt1djL,abo-images-small/images/small\9a/9a7a2331.jpg,What shape is the camera?,Circle
81-9EAt1djL,abo-images-small/images/small\9a/9a7a2331.jpg,What main color is visible?,Blue
81-9EAt1djL,abo-images-small/images/small\9a/9a7a2331.jpg,Does the phone cover show art?,Painting
61uiGb2-9XL,abo-images-small/images/small\8b/8b001c11.jpg,Are there rainbows?,Yes
61uiGb2-9XL,abo-images-small/images/small\8b/8b001c11.jpg,What color is the sky?,Blue
61uiGb2-9XL,abo-images-small/images/small\8b/8b001c11.jpg,Is there glitter?,Yes
61uiGb2-9XL,abo-images-small/images/small\8b/8b001c11.jpg,Are there planets?,Yes
61uiGb2-9XL,abo-images-small/images/small\8b/8b001c11.jpg,Are there stars?,Yes
61LCFmVyrbL,abo-images-small/images/small\9a/9a76795b.jpg,Is there a phone?,Yes
61LCFmVyrbL,abo-images-small/images/small\9a/9a76795b.jpg,Is the case transparent?,Yes
61LCFmVyrbL,abo-images-small/images/small\9a/9a76795b.jpg,Are there any buttons?,No
61LCFmVyrbL,abo-images-small/images/small\9a/9a76795b.jpg,How many cutouts are present?,One
61LCFmVyrbL,abo-images-small/images/small\9a/9a76795b.jpg,Is the screen lit?,Yes
71XmNrez1JL,abo-images-small/images/small\2a/2aaf5912.jpg,What shape repeats?,Heart
71XmNrez1JL,abo-images-small/images/small\2a/2aaf5912.jpg,Is there an opening?,Yes
71XmNrez1JL,abo-images-small/images/small\2a/2aaf5912.jpg,What is the background color?,Blue
71XmNrez1JL,abo-images-small/images/small\2a/2aaf5912.jpg,Are patterns present?,Yes
71XmNrez1JL,abo-images-small/images/small\2a/2aaf5912.jpg,Are edges rounded?,Yes
813I-bsG30L,abo-images-small/images/small\d7/d7c9f964.jpg,Is there a guitar?,Yes
813I-bsG30L,abo-images-small/images/small\d7/d7c9f964.jpg,What color is background?,Black
813I-bsG30L,abo-images-small/images/small\d7/d7c9f964.jpg,Is there a camera?,Yes
813I-bsG30L,abo-images-small/images/small\d7/d7c9f964.jpg,What shape is pattern?,Floral
813I-bsG30L,abo-images-small/images/small\d7/d7c9f964.jpg,Is design symmetrical?,Yes
71lr5t64szL,abo-images-small/images/small\4f/4f36be04.jpg,Is the object patterned?,Yes
71lr5t64szL,abo-images-small/images/small\4f/4f36be04.jpg,What color dominates?,Red
71lr5t64szL,abo-images-small/images/small\4f/4f36be04.jpg,Is there a cutout?,Yes
71lr5t64szL,abo-images-small/images/small\4f/4f36be04.jpg,What shape is cutout?,Square
71lr5t64szL,abo-images-small/images/small\4f/4f36be04.jpg,Is object rectangular?,Yes
71FHbQge-xL,abo-images-small/images/small\1c/1c3d3298.jpg,What letter is visible?,R
71FHbQge-xL,abo-images-small/images/small\1c/1c3d3298.jpg,What brand logo is visible?,Motorola
71FHbQge-xL,abo-images-small/images/small\1c/1c3d3298.jpg,Is there a camera?,Yes
71FHbQge-xL,abo-images-small/images/small\1c/1c3d3298.jpg,What shape are the studs?,Round
71FHbQge-xL,abo-images-small/images/small\1c/1c3d3298.jpg,Is it portrait?,Yes
81nvSCBf8hL,abo-images-small/images/small\16/1652d9d9.jpg,What has been cut out?,Logo
81nvSCBf8hL,abo-images-small/images/small\16/1652d9d9.jpg,Is the case patterned?,Yes
81nvSCBf8hL,abo-images-small/images/small\16/1652d9d9.jpg,What is the case color?,Multi
81nvSCBf8hL,abo-images-small/images/small\16/1652d9d9.jpg,Is there a camera opening?,Yes
81nvSCBf8hL,abo-images-small/images/small\16/1652d9d9.jpg,What shape is the design?,Rectangular
61HJoLaHkOL,abo-images-small/images/small\83/837bbc16.jpg,Is screen visible?,Yes
61HJoLaHkOL,abo-images-small/images/small\83/837bbc16.jpg,What color is border?,Black
61HJoLaHkOL,abo-images-small/images/small\83/837bbc16.jpg,Is there a cutout?,Yes
61HJoLaHkOL,abo-images-small/images/small\83/837bbc16.jpg,Are there two items?,Yes
61HJoLaHkOL,abo-images-small/images/small\83/837bbc16.jpg,Is screen lit?,Yes
71S7XyO0LDL,abo-images-small/images/small\99/99a21a6a.jpg,Is there a moon?,Yes
71S7XyO0LDL,abo-images-small/images/small\99/99a21a6a.jpg,What shape is the tree's canopy?,Round
71S7XyO0LDL,abo-images-small/images/small\99/99a21a6a.jpg,What color is the sky?,Blue
71S7XyO0LDL,abo-images-small/images/small\99/99a21a6a.jpg,Is there a tree?,Yes
71S7XyO0LDL,abo-images-small/images/small\99/99a21a6a.jpg,What is on the phone?,Image
71jEtVnplNL,abo-images-small/images/small\83/83991268.jpg,Is the Eiffel Tower visible?,Yes
71jEtVnplNL,abo-images-small/images/small\83/83991268.jpg,What primary shape makes the background?,Triangle
71jEtVnplNL,abo-images-small/images/small\83/83991268.jpg,Is there a charging port visible?,No
71jEtVnplNL,abo-images-small/images/small\83/83991268.jpg,How many building silhouettes are shown?,Four
71jEtVnplNL,abo-images-small/images/small\83/83991268.jpg,What is the main color?,Multicolor
71gYNEkJ+VL,abo-images-small/images/small\dd/ddc07edd.jpg,What color is the camera outline?,Red
71gYNEkJ+VL,abo-images-small/images/small\dd/ddc07edd.jpg,Are flowers present?,Yes
71gYNEkJ+VL,abo-images-small/images/small\dd/ddc07edd.jpg,What is the case's main background color?,Green
71gYNEkJ+VL,abo-images-small/images/small\dd/ddc07edd.jpg,Is the case opaque?,Yes
71gYNEkJ+VL,abo-images-small/images/small\dd/ddc07edd.jpg,What direction are the flowers facing?,Upward
71Hgf8uYSOL,abo-images-small/images/small\8d/8df5fbad.jpg,How many camera holes are present?,Two
71Hgf8uYSOL,abo-images-small/images/small\8d/8df5fbad.jpg,Are pandas black?,Yes
71Hgf8uYSOL,abo-images-small/images/small\8d/8df5fbad.jpg,Is the background white?,Yes
71Hgf8uYSOL,abo-images-small/images/small\8d/8df5fbad.jpg,Are pandas overlapping?,Yes
71Hgf8uYSOL,abo-images-small/images/small\8d/8df5fbad.jpg,How many panda eyes are visible?,Many
81viMgFtApL,abo-images-small/images/small\4f/4fff02c0.jpg,Is there a camera?,Yes
81viMgFtApL,abo-images-small/images/small\4f/4fff02c0.jpg,What shape is the object?,Rectangular
81viMgFtApL,abo-images-small/images/small\4f/4fff02c0.jpg,Is there a flash?,Yes
81viMgFtApL,abo-images-small/images/small\4f/4fff02c0.jpg,What color is dominant?,Orange
81viMgFtApL,abo-images-small/images/small\4f/4fff02c0.jpg,Are there lines?,Yes
81KyZ+sS+aL,abo-images-small/images/small\b0/b06aaea0.jpg,Is the design multicolored?,Yes
81KyZ+sS+aL,abo-images-small/images/small\b0/b06aaea0.jpg,What shape is mostly visible?,Rectangle
81KyZ+sS+aL,abo-images-small/images/small\b0/b06aaea0.jpg,Is there camera opening?,Yes
81KyZ+sS+aL,abo-images-small/images/small\b0/b06aaea0.jpg,What is the most visible color?,Blue
81KyZ+sS+aL,abo-images-small/images/small\b0/b06aaea0.jpg,Is the surface smooth?,Appears
61cM+0wfr-L,abo-images-small/images/small\cb/cb1e1bd9.jpg,What shape are the hearts?,Pointed
61cM+0wfr-L,abo-images-small/images/small\cb/cb1e1bd9.jpg,Are there buses?,Yes
61cM+0wfr-L,abo-images-small/images/small\cb/cb1e1bd9.jpg,What color are the telephone booths?,Red
61cM+0wfr-L,abo-images-small/images/small\cb/cb1e1bd9.jpg,What is atop the bus?,Light
61cM+0wfr-L,abo-images-small/images/small\cb/cb1e1bd9.jpg,What is the background color?,Green
71ATpHWBD6L,abo-images-small/images/small\72/72692df2.jpg,What color is dominant?,Purple
