image_id,full_image_path,question,answer
71c4Lk2mjML,abo-images-small/images/small\88/8854ffa7.jpg,Is there a cup?,Yes
71c4Lk2mjML,abo-images-small/images/small\88/8854ffa7.jpg,What color is inside?,Green
71c4Lk2mjML,abo-images-small/images/small\88/8854ffa7.jpg,Is the table shiny?,No
71c4Lk2mjML,abo-images-small/images/small\88/8854ffa7.jpg,How many cameras?,Two
71c4Lk2mjML,abo-images-small/images/small\88/8854ffa7.jpg,Are there stripes?,Rainbow
71uhRzE8TAL,abo-images-small/images/small\8d/8dafca92.jpg,What color is the background?,Pink
71uhRzE8TAL,abo-images-small/images/small\8d/8dafca92.jpg,What is on the car?,Sign
71uhRzE8TAL,abo-images-small/images/small\8d/8dafca92.jpg,What shape is the logo?,Oval
71uhRzE8TAL,abo-images-small/images/small\8d/8dafca92.jpg,Are there cans?,Yes
71uhRzE8TAL,abo-images-small/images/small\8d/8dafca92.jpg,What type of vehicle?,Car
81+csRINV9L,abo-images-small/images/small\c9/c9f688b7.jpg,What words are shown?,NoHate
81+csRINV9L,abo-images-small/images/small\c9/c9f688b7.jpg,What shape are the blocks?,Square
81+csRINV9L,abo-images-small/images/small\c9/c9f688b7.jpg,What device is this?,Phone
81+csRINV9L,abo-images-small/images/small\c9/c9f688b7.jpg,What color are the blocks?,Beige
81+csRINV9L,abo-images-small/images/small\c9/c9f688b7.jpg,How many lenses are visible?,Two
71FLqIo8iPL,abo-images-small/images/small\58/584577b8.jpg,Is the figure wearing clothing?,Yes
71FLqIo8iPL,abo-images-small/images/small\58/584577b8.jpg,What color is the background?,Blue
71FLqIo8iPL,abo-images-small/images/small\58/584577b8.jpg,Is there a mountain?,Yes
71FLqIo8iPL,abo-images-small/images/small\58/584577b8.jpg,Is the item rectangular?,Yes
71FLqIo8iPL,abo-images-small/images/small\58/584577b8.jpg,Does the figure have hair?,Yes
71ocE-6OyEL,abo-images-small/images/small\a9/a9bd526b.jpg,What is written?,Girlboss
71ocE-6OyEL,abo-images-small/images/small\a9/a9bd526b.jpg,Is there a camera hole?,Yes
71ocE-6OyEL,abo-images-small/images/small\a9/a9bd526b.jpg,Is the background solid?,Yes
71ocE-6OyEL,abo-images-small/images/small\a9/a9bd526b.jpg,What shape is this object?,Rectangular
71ocE-6OyEL,abo-images-small/images/small\a9/a9bd526b.jpg,Is there writing present?,Lettering
71kkLdpczmL,abo-images-small/images/small\6f/6f000044.jpg,What letter is displayed?,K
71kkLdpczmL,abo-images-small/images/small\6f/6f000044.jpg,What shape are the fasteners?,Round
71kkLdpczmL,abo-images-small/images/small\6f/6f000044.jpg,What color surrounds the denim?,Black
71kkLdpczmL,abo-images-small/images/small\6f/6f000044.jpg,Is there stitching visible?,Yes
71kkLdpczmL,abo-images-small/images/small\6f/6f000044.jpg,How many cameras are visible?,Three
81T2fCEe3uL,abo-images-small/images/small\e6/e60bddd8.jpg,Is there wheat?,Yes
81T2fCEe3uL,abo-images-small/images/small\e6/e60bddd8.jpg,What is the background color?,Brown
81T2fCEe3uL,abo-images-small/images/small\e6/e60bddd8.jpg,What shape is it?,Rectangular
81T2fCEe3uL,abo-images-small/images/small\e6/e60bddd8.jpg,Are there cutouts?,Yes
81T2fCEe3uL,abo-images-small/images/small\e6/e60bddd8.jpg,How many cameras?,One
61DpJWhkecL,abo-images-small/images/small\01/010e978d.jpg,Is there a letter?,Yes
61DpJWhkecL,abo-images-small/images/small\01/010e978d.jpg,What letter is visible?,D
61DpJWhkecL,abo-images-small/images/small\01/010e978d.jpg,Is there a pattern?,Yes
61DpJWhkecL,abo-images-small/images/small\01/010e978d.jpg,What is the main color?,Blue
61DpJWhkecL,abo-images-small/images/small\01/010e978d.jpg,Are cutouts visible?,Yes
71KXTV649ML,abo-images-small/images/small\94/94949347.jpg,What is the object depicted?,Bear
71KXTV649ML,abo-images-small/images/small\94/94949347.jpg,Is there a heart?,Yes
71KXTV649ML,abo-images-small/images/small\94/94949347.jpg,Is this horizontal?,No
71KXTV649ML,abo-images-small/images/small\94/94949347.jpg,What is written on the object?,You
71KXTV649ML,abo-images-small/images/small\94/94949347.jpg,What color is the bear?,Brown
717XCuS6vTL,abo-images-small/images/small\80/802fe9fc.jpg,What color is the case?,Yellow
717XCuS6vTL,abo-images-small/images/small\80/802fe9fc.jpg,Is there a camera?,Yes
717XCuS6vTL,abo-images-small/images/small\80/802fe9fc.jpg,Are shoes displayed?,Yes
717XCuS6vTL,abo-images-small/images/small\80/802fe9fc.jpg,What color are the shoes?,Black
717XCuS6vTL,abo-images-small/images/small\80/802fe9fc.jpg,Is there visible skin?,Yes
61dM7PgoO9L,abo-images-small/images/small\95/95b10391.jpg,Is there a cutout?,Yes
61dM7PgoO9L,abo-images-small/images/small\95/95b10391.jpg,Is the background blue?,Yes
61dM7PgoO9L,abo-images-small/images/small\95/95b10391.jpg,What shape is the candy?,Heart
61dM7PgoO9L,abo-images-small/images/small\95/95b10391.jpg,What is below the blue?,Pink
61dM7PgoO9L,abo-images-small/images/small\95/95b10391.jpg,Are there two cameras?,No
61MBsvIECkL,abo-images-small/images/small\02/0255e27e.jpg,Is it raining?,Yes
61MBsvIECkL,abo-images-small/images/small\02/0255e27e.jpg,What color is the background?,Black
61MBsvIECkL,abo-images-small/images/small\02/0255e27e.jpg,How many people are pictured?,Two
61MBsvIECkL,abo-images-small/images/small\02/0255e27e.jpg,Is it vertical?,Yes
61MBsvIECkL,abo-images-small/images/small\02/0255e27e.jpg,Are they embracing?,Yes
713xQeNw6IL,abo-images-small/images/small\8f/8f378ca8.jpg,How many hearts are visible?,Four
713xQeNw6IL,abo-images-small/images/small\8f/8f378ca8.jpg,What color is the writing?,White
713xQeNw6IL,abo-images-small/images/small\8f/8f378ca8.jpg,Is there a camera?,Yes
713xQeNw6IL,abo-images-small/images/small\8f/8f378ca8.jpg,Is there stars?,Yes
713xQeNw6IL,abo-images-small/images/small\8f/8f378ca8.jpg,What background color?,Black
71r9xZAtjlL,abo-images-small/images/small\e5/e5fbadf2.jpg,What color is the bird?,Red
71r9xZAtjlL,abo-images-small/images/small\e5/e5fbadf2.jpg,Is the bird perched?,Yes
71r9xZAtjlL,abo-images-small/images/small\e5/e5fbadf2.jpg,What is pictured?,Cardinal
71r9xZAtjlL,abo-images-small/images/small\e5/e5fbadf2.jpg,Is the background clear?,No
71r9xZAtjlL,abo-images-small/images/small\e5/e5fbadf2.jpg,Is there a hole?,Two
61GjddBPZHL,abo-images-small/images/small\8f/8f11f5b2.jpg,What color is the case?,Pink
61GjddBPZHL,abo-images-small/images/small\8f/8f11f5b2.jpg,What shape is the cover?,Rectangular
61GjddBPZHL,abo-images-small/images/small\8f/8f11f5b2.jpg,Is there a camera hole?,Yes
61GjddBPZHL,abo-images-small/images/small\8f/8f11f5b2.jpg,What is the design?,Floral
61GjddBPZHL,abo-images-small/images/small\8f/8f11f5b2.jpg,Is there a circle?,Yes
71LMEzGgPlL,abo-images-small/images/small\ab/ab046a95.jpg,What is the cover's color?,Orange
